algorithm,domain,seed,target_acc,source_val,best_step,task_id
IB_ERM,sketch,100,0.7841689997454823,0.9802865378681961,500,final_IB_ERM_e3_s100
IB_ERM,sketch,101,0.7513362178671418,0.974626531110141,1500,final_IB_ERM_e3_s101
IB_ERM,sketch,102,0.7744973275642657,0.9752360366096219,1500,final_IB_ERM_e3_s102
IB_IRM,art_painting,100,0.8603515625,0.9765848617425719,500,final_IB_IRM_e0_s100
IB_IRM,art_painting,101,0.85400390625,0.9733112304434628,500,final_IB_IRM_e0_s101
IB_IRM,art_painting,102,0.84912109375,0.9745968566976234,250,final_IB_IRM_e0_s102
IB_IRM,cartoon,100,0.8101535836177475,0.9619538957684899,250,final_IB_IRM_e1_s100
IB_IRM,cartoon,101,0.8046075085324232,0.972422653486107,500,final_IB_IRM_e1_s101
IB_IRM,cartoon,102,0.8063139931740614,0.974452922445331,500,final_IB_IRM_e1_s102
IB_IRM,photo,100,0.9808383233532935,0.9634895801513154,250,final_IB_IRM_e2_s100
IB_IRM,photo,101,0.9790419161676647,0.9637908122996812,500,final_IB_IRM_e2_s101
IB_IRM,photo,102,0.9754491017964072,0.9728172859353462,500,final_IB_IRM_e2_s102
IB_IRM,sketch,100,0.7933316365487402,0.9735680458196306,250,final_IB_IRM_e3_s100
IB_IRM,sketch,101,0.80580300330873,0.9736483086738567,500,final_IB_IRM_e3_s101
IB_IRM,sketch,102,0.7297022143038941,0.9713890297686031,500,final_IB_IRM_e3_s102
IGA,art_painting,100,0.2099609375,0.18504673922882095,1250,final_IGA_e0_s100
IGA,art_painting,101,0.19873046875,0.176746664545589,750,final_IGA_e0_s101
IGA,art_painting,102,0.15234375,0.16779649368039465,250,final_IGA_e0_s102
IGA,cartoon,100,0.1727815699658703,0.18830961875168883,1500,final_IGA_e1_s100
IGA,cartoon,101,0.2137372013651877,0.18190443276777857,1250,final_IGA_e1_s101
IGA,cartoon,102,0.1552901023890785,0.16574703519937528,500,final_IGA_e1_s102
IGA,photo,100,0.25808383233532933,0.15001336586218153,1750,final_IGA_e2_s100
IGA,photo,101,0.1568862275449102,0.20087201768792726,750,final_IGA_e2_s101
IGA,photo,102,0.11377245508982035,0.17474503370038544,2750,final_IGA_e2_s102
IGA,sketch,100,0.036650547213031306,0.2542357451731857,250,final_IGA_e3_s100
IGA,sketch,101,0.0750827182489183,0.22340306743627245,250,final_IGA_e3_s101
IGA,sketch,102,0.18885212522270298,0.1607556520920502,250,final_IGA_e3_s102
IRM,art_painting,100,0.8603515625,0.9765848617425719,500,final_IRM_e0_s100
IRM,art_painting,101,0.85400390625,0.9733112304434628,500,final_IRM_e0_s101
IRM,art_painting,102,0.84912109375,0.9745968566976234,250,final_IRM_e0_s102
IRM,cartoon,100,0.8101535836177475,0.9619538957684899,250,final_IRM_e1_s100
IRM,cartoon,101,0.8046075085324232,0.972422653486107,500,final_IRM_e1_s101
IRM,cartoon,102,0.8063139931740614,0.974452922445331,500,final_IRM_e1_s102
IRM,photo,100,0.9808383233532935,0.9634895801513154,250,final_IRM_e2_s100
IRM,photo,101,0.9790419161676647,0.9637908122996812,500,final_IRM_e2_s101
IRM,photo,102,0.9754491017964072,0.9728172859353462,500,final_IRM_e2_s102
IRM,sketch,100,0.7933316365487402,0.9735680458196306,250,final_IRM_e3_s100
IRM,sketch,101,0.80580300330873,0.9736483086738567,500,final_IRM_e3_s101
IRM,sketch,102,0.7297022143038941,0.9713890297686031,500,final_IRM_e3_s102
MLDG,art_painting,100,0.76123046875,0.9136848302415258,1500,final_MLDG_e0_s100
MLDG,art_painting,101,0.84423828125,0.9490060056271582,1000,final_MLDG_e0_s101
MLDG,art_painting,102,0.87109375,0.9427581061949267,750,final_MLDG_e0_s102
MLDG,cartoon,100,0.7478668941979523,0.9347777713226314,1750,final_MLDG_e1_s100
MLDG,cartoon,101,0.7649317406143344,0.934364846063561,1250,final_MLDG_e1_s101
MLDG,cartoon,102,0.7636518771331058,0.9390573718400335,750,final_MLDG_e1_s102
MLDG,photo,100,0.9520958083832335,0.9060219387372768,2750,final_MLDG_e2_s100
MLDG,photo,101,0.9562874251497006,0.8967695698295421,2250,final_MLDG_e2_s101
MLDG,photo,102,0.9467065868263473,0.9147264914227989,1750,final_MLDG_e2_s102
MLDG,sketch,100,0.6574191906337491,0.9132338315866125,750,final_MLDG_e3_s100
MLDG,sketch,101,0.7281751081700178,0.9331078194268683,250,final_MLDG_e3_s101
MLDG,sketch,102,0.7526088063120386,0.9424896054546289,250,final_MLDG_e3_s102
MMD,art_painting,100,0.82421875,0.9649340548039964,2750,final_MMD_e0_s100
MMD,art_painting,101,0.84130859375,0.9679045849723602,1250,final_MMD_e0_s101
MMD,art_painting,102,0.86669921875,0.9659029700411904,1750,final_MMD_e0_s102
MMD,cartoon,100,0.8011945392491467,0.955412315543022,1500,final_MMD_e1_s100
MMD,cartoon,101,0.7969283276450512,0.9545071848423129,5000,final_MMD_e1_s101
MMD,cartoon,102,0.8178327645051194,0.9623812627342142,3000,final_MMD_e1_s102
MMD,photo,100,0.9658682634730539,0.9505317394747884,4500,final_MMD_e2_s100
MMD,photo,101,0.9676646706586827,0.9553531930745267,1000,final_MMD_e2_s101
MMD,photo,102,0.9556886227544911,0.9477784783486122,5000,final_MMD_e2_s102
MMD,sketch,100,0.8106388393993382,0.9704332896908626,750,final_MMD_e3_s100
MMD,sketch,101,0.7943497073046577,0.9678855567030319,500,final_MMD_e3_s101
MMD,sketch,102,0.8017307202850598,0.9703910257765872,2250,final_MMD_e3_s102
MTL,art_painting,100,0.8466796875,0.96365456250654,3000,final_MTL_e0_s100
MTL,art_painting,101,0.84619140625,0.9684446067851232,3000,final_MTL_e0_s101
MTL,art_painting,102,0.85107421875,0.9625115493874791,3500,final_MTL_e0_s102
MTL,cartoon,100,0.8255119453924915,0.9591771528346295,1500,final_MTL_e1_s100
MTL,cartoon,101,0.8280716723549488,0.9600507610757648,750,final_MTL_e1_s101
MTL,cartoon,102,0.8319112627986348,0.9621739033262955,2000,final_MTL_e1_s102
MTL,photo,100,0.9574850299401197,0.9549492534261974,2000,final_MTL_e2_s100
MTL,photo,101,0.9670658682634731,0.9604417309858575,4250,final_MTL_e2_s101
MTL,photo,102,0.9748502994011976,0.9549628255996124,750,final_MTL_e2_s102
MTL,sketch,100,0.7938406719266989,0.9662780472115348,2500,final_MTL_e3_s100
MTL,sketch,101,0.7640621023161109,0.969942045985558,3250,final_MTL_e3_s101
MTL,sketch,102,0.8355815729193179,0.9683345364940611,3500,final_MTL_e3_s102
Mixup,art_painting,100,0.876953125,0.9762817606118266,2000,final_Mixup_e0_s100
Mixup,art_painting,101,0.88623046875,0.9768452642322737,1250,final_Mixup_e0_s101
Mixup,art_painting,102,0.888671875,0.974137005535991,4750,final_Mixup_e0_s102
Mixup,cartoon,100,0.8024744027303754,0.9706538241785315,4750,final_Mixup_e1_s100
Mixup,cartoon,101,0.7598122866894198,0.9699533143701228,4500,final_Mixup_e1_s101
Mixup,cartoon,102,0.7918088737201365,0.9762316613871752,5000,final_Mixup_e1_s102
Mixup,photo,100,0.9772455089820359,0.9702217197989081,2750,final_Mixup_e2_s100
Mixup,photo,101,0.9724550898203593,0.9677973454000114,4000,final_Mixup_e2_s101
Mixup,photo,102,0.9784431137724551,0.9628937222508617,1500,final_Mixup_e2_s102
Mixup,sketch,100,0.8302367014507508,0.9807355176592253,4500,final_Mixup_e3_s100
Mixup,sketch,101,0.8371086790531942,0.9812647603044803,4250,final_Mixup_e3_s101
Mixup,sketch,102,0.8630694833290914,0.9768660284596627,2500,final_Mixup_e3_s102
RSC,art_painting,100,0.81640625,0.9791246295041253,3500,final_RSC_e0_s100
RSC,art_painting,101,0.84521484375,0.9765613799348877,3000,final_RSC_e0_s101
RSC,art_painting,102,0.83056640625,0.9774205087565627,2250,final_RSC_e0_s102
RSC,cartoon,100,0.8020477815699659,0.968462159977617,750,final_RSC_e1_s100
RSC,cartoon,101,0.8238054607508533,0.9753265306864662,2000,final_RSC_e1_s101
RSC,cartoon,102,0.8238054607508533,0.9735234404036989,1000,final_RSC_e1_s102
RSC,photo,100,0.9760479041916168,0.9720572020744882,1250,final_RSC_e2_s100
RSC,photo,101,0.9634730538922156,0.9697834437497747,1500,final_RSC_e2_s101
RSC,photo,102,0.9760479041916168,0.9707148324865921,1500,final_RSC_e2_s102
RSC,sketch,100,0.7485365232883685,0.9783932750969337,750,final_RSC_e3_s100
RSC,sketch,101,0.8017307202850598,0.975624535102157,750,final_RSC_e3_s101
RSC,sketch,102,0.7902774242809876,0.9754415270351613,1750,final_RSC_e3_s102
SANDMask,art_painting,100,0.091796875,0.1499624790921179,1500,final_SANDMask_e0_s100
SANDMask,art_painting,101,0.1611328125,0.16945911649943077,1000,final_SANDMask_e0_s101
SANDMask,art_painting,102,0.11669921875,0.1447823553720041,2500,final_SANDMask_e0_s102
SANDMask,cartoon,100,0.14035836177474403,0.16030519746329527,3000,final_SANDMask_e1_s100
SANDMask,cartoon,101,0.11689419795221843,0.20385673764830767,3500,final_SANDMask_e1_s101
SANDMask,cartoon,102,0.10793515358361774,0.12695360839531286,2750,final_SANDMask_e1_s102
SANDMask,photo,100,0.18922155688622755,0.1303174402250913,1500,final_SANDMask_e2_s100
SANDMask,photo,101,0.3083832335329341,0.1380356166840212,1500,final_SANDMask_e2_s101
SANDMask,photo,102,0.09700598802395209,0.14437100873725855,1500,final_SANDMask_e2_s102
SANDMask,sketch,100,0.20234156273861034,0.15840687129283532,2000,final_SANDMask_e3_s100
SANDMask,sketch,101,0.10817001781623822,0.19578311456413444,1500,final_SANDMask_e3_s101
SANDMask,sketch,102,0.15474675489946552,0.11291279685420498,500,final_SANDMask_e3_s102
SD,art_painting,100,0.828125,0.9762737576727432,3000,final_SD_e0_s100
SD,art_painting,101,0.8046875,0.9785555189365404,4000,final_SD_e0_s101
SD,art_painting,102,0.87353515625,0.9797060079851185,1250,final_SD_e0_s102
SD,cartoon,100,0.8114334470989761,0.9739696816791099,3000,final_SD_e1_s100
SD,cartoon,101,0.8135665529010239,0.9728571915704821,1250,final_SD_e1_s101
SD,cartoon,102,0.8255119453924915,0.973923717512882,1000,final_SD_e1_s102
SD,photo,100,0.9796407185628743,0.9716804444857955,1500,final_SD_e2_s100
SD,photo,101,0.9790419161676647,0.969612176586621,750,final_SD_e2_s101
SD,photo,102,0.9832335329341317,0.974365221374394,750,final_SD_e2_s102
SD,sketch,100,0.7437006871977603,0.9811240161517601,750,final_SD_e3_s100
SD,sketch,101,0.7398829218630695,0.9777837695974528,1000,final_SD_e3_s101
SD,sketch,102,0.7681343853397811,0.9770490365266583,250,final_SD_e3_s102
SagNet,art_painting,100,0.7919921875,0.9754442446154563,3250,final_SagNet_e0_s100
SagNet,art_painting,101,0.81396484375,0.9764459865722309,2500,final_SagNet_e0_s101
SagNet,art_painting,102,0.81396484375,0.9751368785103862,500,final_SagNet_e0_s102
SagNet,cartoon,100,0.8255119453924915,0.9685550332689239,1500,final_SagNet_e1_s100
SagNet,cartoon,101,0.7802901023890785,0.9729716776870938,1000,final_SagNet_e1_s101
SagNet,cartoon,102,0.8532423208191127,0.9690139226942218,1500,final_SagNet_e1_s102
SagNet,photo,100,0.9688622754491018,0.9670165727373771,2250,final_SagNet_e2_s100
SagNet,photo,101,0.9622754491017964,0.9674890720488963,3250,final_SagNet_e2_s101
SagNet,photo,102,0.9808383233532935,0.9687629196864087,1250,final_SagNet_e2_s102
SagNet,sketch,100,0.7500636294222448,0.9744435230431453,2250,final_SagNet_e3_s100
SagNet,sketch,101,0.721048612878595,0.9764550476085841,2500,final_SagNet_e3_s101
SagNet,sketch,102,0.7882412827691525,0.9752585189681656,3250,final_SagNet_e3_s102
SelfReg,art_painting,100,0.82421875,0.9775692558483664,1250,final_SelfReg_e0_s100
SelfReg,art_painting,101,0.849609375,0.9787061350107233,2000,final_SelfReg_e0_s101
SelfReg,art_painting,102,0.86376953125,0.9806922710732925,500,final_SelfReg_e0_s102
SelfReg,cartoon,100,0.8071672354948806,0.9746016695371346,1250,final_SelfReg_e1_s100
SelfReg,cartoon,101,0.8161262798634812,0.9756925468204575,1000,final_SelfReg_e1_s101
SelfReg,cartoon,102,0.8276450511945392,0.9722152940781884,1750,final_SelfReg_e1_s102
SelfReg,photo,100,0.9694610778443113,0.9702902040364859,4750,final_SelfReg_e2_s100
SelfReg,photo,101,0.9802395209580839,0.9705435653234386,750,final_SelfReg_e2_s101
SelfReg,photo,102,0.9634730538922156,0.9702902040364859,5000,final_SelfReg_e2_s102
SelfReg,sketch,100,0.7299567319928735,0.9785762831639294,1250,final_SelfReg_e3_s100
SelfReg,sketch,101,0.7882412827691525,0.9783932750969337,2000,final_SelfReg_e3_s101
SelfReg,sketch,102,0.7856961058793586,0.978149785731444,750,final_SelfReg_e3_s102
TRM,art_painting,100,0.8037109375,0.9816804031438457,2000,final_TRM_e0_s100
TRM,art_painting,101,0.84228515625,0.9778587470928904,4000,final_TRM_e0_s101
TRM,art_painting,102,0.83251953125,0.9747221219817428,3000,final_TRM_e0_s102
